offense_id,occur_date,occur_day,occur_time,beat,zone,ibr_code,uc2_literal,neighborhood,npu,lat,long
210500621,2021-02-18,Thursday,16:56:00,509,5,23G,Larceny From Vehicle,Downtown,M,33.764937,-84.38261
210500643,2021-02-19,Friday,10:25:00,312,3,23F,Larceny From Vehicle,Orchard Knob,Z,33.664035,-84.374042
210500644,2021-02-18,Thursday,19:00:00,501,5,23D,Larceny Non Vehicle,Home Park,E,33.78366,-84.401733
210500714,2021-02-13,Saturday,18:00:00,110,1,240,Auto Theft,Carver Hills,G,33.799013,-84.468144
210500720,2021-02-18,Thursday,20:30:00,509,5,240,Auto Theft,Downtown,M,33.761543,-84.383106
210500728,2021-02-02,Tuesday,12:15:00,212,2,23H,Larceny Non Vehicle,NA,F,33.811774,-84.373886
210500747,2021-02-18,Thursday,22:00:00,403,4,23F,Larceny From Vehicle,Venetian Hills,S,33.714836,-84.4378
210500777,2021-02-19,Friday,11:00:00,609,6,23C,Larceny Non Vehicle,Edgewood,O,33.758516,-84.34891
210500790,2021-02-19,Friday,11:50:00,404,4,23F,Larceny From Vehicle,Westwood Terrace,I,33.739053,-84.447849
210500837,2021-02-19,Friday,12:05:00,306,3,23F,Larceny From Vehicle,Sylvan Hills,X,33.707698,-84.426425
210500873,2021-02-18,Thursday,12:00:00,407,4,220,Burglary,Fairburn Mays,H,33.735431,-84.512006
210500880,2021-02-10,Wednesday,13:00:00,110,1,23H,Larceny Non Vehicle,Scotts Crossing,G,33.801395,-84.467891
210500992,2021-02-18,Thursday,19:00:00,206,2,23F,Larceny From Vehicle,Buckhead Village,B,33.839522,-84.379699
210501012,2021-02-19,Friday,08:30:00,503,5,23D,Larceny Non Vehicle,Midtown,E,33.781577,-84.390164
210501025,2021-02-19,Friday,14:34:00,614,6,13A,Agg Assault,Midtown,E,33.775124,-84.365848
210501061,2021-02-19,Friday,11:40:00,209,2,23F,Larceny From Vehicle,North Buckhead,B,33.869851,-84.380612
210501101,2021-02-19,Friday,15:16:00,606,6,240,Auto Theft,Reynoldstown,N,33.744541,-84.3575
